metric_type,metric_name,value,unit,source
segment_level,validation_accuracy,78.55555555555556,%,training_history.json
segment_level,macro_f1,0.7973001003265381,,training_history.json
segment_level,validation_loss,0.8101130703039336,,training_history.json
file_level,file_accuracy,100.0,%,file_level_results.json
file_level,valid_files,6.0,count,file_level_results.json
file_level_per_class,person_accuracy,100.0,%,file_level_results.json
file_level_per_class,plant_accuracy,100.0,%,file_level_results.json
file_level_per_class,backpack_accuracy,100.0,%,file_level_results.json
file_level_per_class,wall_accuracy,100.0,%,file_level_results.json
file_level_per_class,chair_accuracy,100.0,%,file_level_results.json
latency,total_inference_time,1.5441710059531033,ms,latency_profile.json
latency,preprocessing_time,0.0,ms,latency_profile.json
latency,forward_pass_time,1.5441710059531033,ms,latency_profile.json
latency,aggregation_time,0.0,ms,latency_profile.json
latency,per_pulse_forward_time,1.5441710059531033,ms,latency_profile.json
